6,AAA,ANAA,175,2023-01-24 14:09:03,2023-01-24 14:09:03,
7,AAB,ARRABURYFSDFSDF,19,2023-01-24 14:09:03,2023-01-24 14:09:03,
8,AAC,AL ARISH,68,2023-01-24 14:09:03,2023-01-24 14:09:03,
9,AAE,ANNABA LES SALINE,65,2023-01-24 14:09:03,2023-01-24 14:09:03,
10,AAF,APALACHICOLA MUNICIPAL,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
11,AAI,ARRAIAS,35,2023-01-24 14:09:03,2023-01-24 14:09:03,
12,AAK,ARANUKA,117,2023-01-24 14:09:03,2023-01-24 14:09:03,
13,AAL,AALBORG,62,2023-01-24 14:09:03,2023-01-24 14:09:03,
14,AAM,MALA MALAFDSFDSFFDSFDSF,245,2023-01-24 14:09:03,2023-01-24 14:09:03,
15,AAN,AL AIN,7,2023-01-24 14:09:03,2023-01-24 14:09:03,
16,AAO,ANACO,235,2023-01-24 14:09:03,2023-01-24 14:09:03,
17,AAP,HOUSTON ANDRAU AIRPARK,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
18,AAQ,ANAPA,189,2023-01-24 14:09:03,2023-01-24 14:09:03,
19,AAR,AARHUS TIRSTRUP,62,2023-01-24 14:09:03,2023-01-24 14:09:03,
20,AAS,APALAPSILI,103,2023-01-24 14:09:03,2023-01-24 14:09:03,
21,AAT,ALTAY,51,2023-01-24 14:09:03,2023-01-24 14:09:03,
22,AAU,ASAU,241,2023-01-24 14:09:03,2023-01-24 14:09:03,
23,AAV,ALAH,177,2023-01-24 14:09:03,2023-01-24 14:09:03,
24,AAX,ARAXA,35,2023-01-24 14:09:03,2023-01-24 14:09:03,
25,AAY,AL GHAYDAH,242,2023-01-24 14:09:03,2023-01-24 14:09:03,
26,ABA,ABAKAN,189,2023-01-24 14:09:03,2023-01-24 14:09:03,
27,ABD,ABADAN,108,2023-01-24 14:09:03,2023-01-24 14:09:03,
28,ABE,ALLENTOWN BETHLEHEM,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
29,ABF,ABAIANG,117,2023-01-24 14:09:03,2023-01-24 14:09:03,
30,ABG,ABINGDON,19,2023-01-24 14:09:03,2023-01-24 14:09:03,
31,ABH,ALPHA,19,2023-01-24 14:09:03,2023-01-24 14:09:03,
32,ABI,ABILENE,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
33,ABJ,ABIDJAN PORT BOUET,47,2023-01-24 14:09:03,2023-01-24 14:09:03,
34,ABK,KABRI DAR,72,2023-01-24 14:09:03,2023-01-24 14:09:03,
35,ABL,AMBLER,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
36,ABM,BAMAGA,19,2023-01-24 14:09:03,2023-01-24 14:09:03,
37,ABN,ALBINA,205,2023-01-24 14:09:03,2023-01-24 14:09:03,
38,ABO,ABOISSO,47,2023-01-24 14:09:03,2023-01-24 14:09:03,
39,ABP,ATKAMBA,176,2023-01-24 14:09:03,2023-01-24 14:09:03,
40,ABQ,ALBUQUERQUE INTL,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
41,ABR,ABERDEEN MUNICIPAL,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
42,ABS,ABU SIMBEL,68,2023-01-24 14:09:03,2023-01-24 14:09:03,
43,ABT,AL-BAHA AL AQIQ,191,2023-01-24 14:09:03,2023-01-24 14:09:03,
44,ABU,ATAMBUA HALIWEN,103,2023-01-24 14:09:03,2023-01-24 14:09:03,
45,ABV,ABUJA,162,2023-01-24 14:09:03,2023-01-24 14:09:03,
46,ABW,ABAU,176,2023-01-24 14:09:03,2023-01-24 14:09:03,
47,ABX,ALBURY,19,2023-01-24 14:09:03,2023-01-24 14:09:03,
48,ABY,ALBANY DOGHRTY CO,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
49,ABZ,ABERDEEN DYCE,80,2023-01-24 14:09:03,2023-01-24 14:09:03,
50,ACA,ACAPULCO ALVRZ INTL,155,2023-01-24 14:09:03,2023-01-24 14:09:03,
51,ACB,BELLAIRE ANTRIM CTY,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
52,ACC,ACCRA KOTOKA,84,2023-01-24 14:09:03,2023-01-24 14:09:03,
53,ACD,ACANDI,52,2023-01-24 14:09:03,2023-01-24 14:09:03,
54,ACE,LANZAROTE,71,2023-01-24 14:09:03,2023-01-24 14:09:03,
55,ACH,ALTENRHEIN,46,2023-01-24 14:09:03,2023-01-24 14:09:03,
56,ACI,ALDERNEY BLAYE,80,2023-01-24 14:09:03,2023-01-24 14:09:03,
57,ACK,NANTUCKET MEMORIAL,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
58,ACL,AGUACLARA,52,2023-01-24 14:09:03,2023-01-24 14:09:03,
59,ACM,ARICA,52,2023-01-24 14:09:03,2023-01-24 14:09:03,
60,ACN,CIUDAD ACUNA INTL,155,2023-01-24 14:09:03,2023-01-24 14:09:03,
61,ACO,ASCONA,46,2023-01-24 14:09:03,2023-01-24 14:09:03,
62,ACR,ARARACUARA,52,2023-01-24 14:09:03,2023-01-24 14:09:03,
63,ACS,ACHINSK,189,2023-01-24 14:09:03,2023-01-24 14:09:03,
64,ACT,WACO METRO,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
65,ACU,ACHUTUPO,173,2023-01-24 14:09:03,2023-01-24 14:09:03,
66,ACV,EUREKA/ARCATA,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
67,ACY,ATLANTIC CITY INTL,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
68,ADA,ADANA,221,2023-01-24 14:09:03,2023-01-24 14:09:03,
69,ADB,IZMIR ADNAN MEND,221,2023-01-24 14:09:03,2023-01-24 14:09:03,
70,ADD,ADDIS ABABA BOLE,72,2023-01-24 14:09:03,2023-01-24 14:09:03,
71,ADE,ADEN INTL,242,2023-01-24 14:09:03,2023-01-24 14:09:03,
72,ADG,ADRIAN LENAWEE,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
73,ADH,ALDAN,189,2023-01-24 14:09:03,2023-01-24 14:09:03,
74,ADI,ARANDIS,158,2023-01-24 14:09:03,2023-01-24 14:09:03,
75,ADJ,AMMAN CIVIL,112,2023-01-24 14:09:03,2023-01-24 14:09:03,
76,ADK,ADAK ISLAND,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
77,ADL,"ADELAIDE, AUSTRALIA",19,2023-01-24 14:09:03,2023-01-24 14:09:03,
78,ADM,ARDMORE MUNICIPAL,230,2023-01-24 14:09:03,2023-01-24 14:09:03,
