1,P/W,P/WOOD,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
2,P,PAPER PALLETS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
3,PAI,PAIL,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
4,20F,X 20,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
5,20T,X 20 OPENTOP,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
6,2FR,X 20 FLATRACK,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
7,2RF,X 20 REEFER,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
8,2RH,X 20 REEFER HIGH CUBE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
9,40D,X 40 DRY CONTAINER,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
10,40F,X 40,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
11,40H,X 40HC,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
12,40T,X 40 OPENTOP,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
13,45F,X 45,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
14,4FR,X 40 FLATRACK,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
15,4M3,BLOCK OF 4CBM,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
16,4PF,X 40 PLATFORM,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
17,4RF,X 40 RF,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
18,B/L,B/L,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
19,B,BARRELS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
20,BAG,BAG,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
21,BAL,BALE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
22,BF,BALE FABRIC (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
23,BL,BULK LOADS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
24,BOX,BOXES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
25,BR,BARREL (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
26,BUN,BUNDLES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
27,CAC,CARTON CASES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
28,CAN,CAN,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
29,CAO,CASES OF,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
30,CAP,CARTON PALLET,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
31,CAR,CARTON,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
32,CAS,CASE(S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
33,CB,CBM,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
34,CBD,CBM/DAY,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
35,CBM,CBM/MONTH,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
36,CBS,CARTON BOX (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
37,CBW,CBM/WEEK,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
38,CBY,CARBOYS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
39,CNS,CANS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
40,CNT,CONTAINER,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
41,CO,COLLY,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
42,COI,COIL,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
43,COL,COLLIES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
44,COT,COTTONS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
45,CPL,CARDBOARD PALLETS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
46,CR,CRATE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
47,CRN,CARTONS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
48,CSE,CASES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
49,CSK,CARTON SKID,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
50,CSS,CASES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
51,CTB,CARTON BOX,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
52,CTN,CARTON,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
53,CYL,CYLINDER (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
54,DOC,DOCUMENT,D,0,2023-01-09 10:09:00,2023-01-09 10:09:00,
55,DRS,DRUMS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
56,DRU,DRUM,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
57,E,EACH,"",0,2023-01-09 10:09:00,2023-01-09 10:09:00,
58,FCL,20 FCL,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
59,FIB,FIBRE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
60,FID,FIBER DRUMS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
61,FPL,FUMIGATED PALLET(S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
62,GI,GI DRUMS(40MT),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
63,HRS,HOURS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
64,HTP,HEAT TREATED PALLET,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
65,IBC,IBCS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
66,IDR,IRON DRUM (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
67,IF,IRON FRAME,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
68,IPL,IRON PALLET,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
69,IRB,IRON BOXES,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
70,IRC,IRON CASE (S),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
71,ITK,IBC,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
72,JEC,JERRYCANS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
73,JRI,JERRICANS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
74,KGM,KGS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
75,KGS,KGS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
76,L/F,LIFTVANS,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
77,LOT,LOT(s),,,2023-01-09 10:09:00,2023-01-09 10:09:00,
78,LPP,LONG LENGTH PALLET PIPE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
79,LSE,LOOSE ,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
80,LTR,LITRE,,,2023-01-09 10:09:00,2023-01-09 10:09:00,
